,Title,Area of flat,Room,Floor,year,Price
70,"3 kambarių butas Vilniuje, Pašilaičiuose, Dociškių g. +1",62.89,3,5/6,2015,128 800 € (2 048 €/m²)
71,"2 kambarių butas Klaipėdoje, Senamiestyje, Liepų g. +1",90.00,2,2/2,2017,107 000 € (1 189 €/m²)
72,"2 kambarių butas Vilniuje, Karoliniškėse, Sausio 13-osios g. +1",55.20,2,3/5,1972,76 000 € (1 377 €/m²)
73,"2 kambarių butas Šiauliuose, Centre, Draugystės pr. +1",28.57,2,3/4,,14 999 € (525 €/m²)
74,"3 kambarių butas Vilniuje, Karoliniškėse, Igno Šimulionio g. +1",76.00,3,1/4,2014,185 000 € (2 434 €/m²)
75,"2 kambarių butas Šiauliuose, Aleksandrijoje, Aerouosto g. +1",34.00,2,2,1985,12 500 € (368 €/m²)
76,"5 kambarių butas Elektrėnų sav., Elektrėnuose, Alinkos g. +1",102.00,5,3/3,2008,135 000 € (1 324 €/m²)
77,"3 kambarių butas Klaipėdoje, Tauralaukyje, Vėjo g. +1",78.00,3,3/4,2011,114 000 € (1 462 €/m²)
78,"1 kambario butas Vilniuje, Žirmūnuose, Tuskulėnų g. +1",33.00,1,3/5,1969,73 900 € (2 239 €/m²)
79,"3 kambarių butas Vilniuje, Senamiestyje, Bokšto g. +1",105.00,3,1/2,1940,430 000 € (4 095 €/m²)
80,"3 kambarių butas Vilniuje, Naujamiestyje, Savanorių pr. +1",69.66,3,1/9,2005,244 000 € (3 503 €/m²)
81,"2 kambarių butas Šventojoje, Mokyklos g. +1",60.00,2,6/9,2020,174 000 € (2 900 €/m²)
82,"3 kambarių butas Vilniuje, Pašilaičiuose, Jurgio Baltrušaičio g. +1",73.90,3,3/5,2002,139 000 € (1 881 €/m²)
83,"3 kambarių butas Klaipėdoje, Alksnynėje, Taikos pr. +1",67.00,3,7/12,1978,87 000 € (1 299 €/m²)
84,"3 kambarių butas Panevėžyje, Molainiuose, Molainių g. +1",64.00,3,4/5,1991,72 000 € (1 125 €/m²)
85,"4 kambarių butas Šiauliuose, Dainiuose, Gegužių g. +1",99.82,4,1/5,1983,85 000 € (852 €/m²)
86,"2 kambarių butas Vilniuje, Karoliniškėse, Sausio 13-osios g. +1",49.10,2,8/9,1974,89 900 € (1 831 €/m²)
87,"3 kambarių butas Vilniuje, Naujamiestyje, A. Vivulskio g. +1",54.72,3,2/3,1940,205 000 € (3 746 €/m²)
88,"3 kambarių butas Vilniuje, Senamiestyje, Sluškų g. +1",69.30,3,4/5,2008,249 000 € (3 593 €/m²)
89,"3 kambarių butas Vilniuje, Žirmūnuose, Žirmūnų g. +1",79.79,3,6/6,2012,139 000 € (1 742 €/m²)
90,"1 kambario butas Vilniuje, Pilaitėje, Simono Grunau g. +1",35.00,1,1/3,2020,69 700 € (1 991 €/m²)
91,"3 kambarių butas Vilniuje, Šiaurės miestelis, S. Žukausko g. +1",88.11,3,7/10,2005,185 000 € (2 100 €/m²)
92,"1 kambario butas Panevėžyje, Centre +1",35.28,1,5/5,1963,18 300 € (519 €/m²)
93,"1 kambario butas Vilniuje, Jeruzalėje, Bitininkų g. +1",34.23,1,3/9,1992,69 900 € (2 042 €/m²)
94,"1 kambario butas Vilniuje, Baltupiuose, Bitininkų g. +1",34.23,1,3/9,1992,69 900 € (2 042 €/m²)
95,"1 kambario butas Vilniaus rajono sav., Skaidiškėse, Sodų g. +1",33.48,1,4/5,1975,42 000 € (1 254 €/m²)
96,"3 kambarių butas Vilniuje, Lazdynuose, M. Mironaitės g. +1",75.66,3,3/6,2008,170 000 € (2 247 €/m²)
97,"1 kambario butas Klaipėdoje, Kauno, Baltijos pr. +1",22.04,1,4/5,1972,28 500 € (1 293 €/m²)
98,"2 kambarių butas Švenčionių rajono sav., Švenčionėliuose, Žemutinė g. +1",52.00,2,1/5,1984,18 900 € (363 €/m²)
99,"2 kambarių butas Tauragės rajono sav., Eičiuose, Mokyklos g. +1",47.00,2,1/4,,9 500 € (202 €/m²)
100,"3 kambarių butas Klaipėdoje, Debrecene, Debreceno g. +1",61.00,3,4/5,1971,59 900 € (982 €/m²)
101,"3 kambarių butas Vilniuje, Pašilaičiuose, Medeinos g. +1",66.42,3,9/9,1986,105 000 € (1 581 €/m²)
102,"3 kambarių butas Klaipėdoje, Vitėje, Dariaus ir Girėno g. +1",90.00,3,7/9,2006,250 000 € (2 778 €/m²)
103,"3 kambarių butas Klaipėdoje, Žardininkuose, Žardininkų g. +1",69.00,3,7/9,1976,63 000 € (913 €/m²)
104,"3 kambarių butas Klaipėdoje, Laukininkuose, Laukininkų g. +1",78.00,3,5/9,1984,57 000 € (731 €/m²)
105,"1 kambario butas Švenčionių rajono sav., Švenčionėliuose, Lauko g. +1",34.00,1,3/5,1977,14 000 € (412 €/m²)
106,"4 kambarių butas Palangoje, Medvalakio g. +1",77.35,4,4/4,1990,92 000 € (1 189 €/m²)
107,"3 kambarių butas Vilniuje, Senamiestyje, A. Rotundo g. +1",70.00,3,3/6,2009,268 000 € (3 829 €/m²)
108,"4 kambarių butas Šventojoje, Mokyklos g. +1",75.15,4,1/3,1990,115 000 € (1 530 €/m²)
109,"3 kambarių butas Klaipėdoje, Vingio, I. Simonaitytės g. +1",64.00,3,3/9,,89 000 € (1 391 €/m²)
110,"3 kambarių butas Vilniuje, Senamiestyje, Mindaugo g. +1",100.88,3,3/3,2001,345 000 € (3 420 €/m²)
111,"1 kambario butas Radviliškio rajono sav., Baisogaloje, Taikos g. +1",28.65,1,1/2,1973,14 400 € (503 €/m²)
112,"3 kambarių butas Klaipėdoje, Žvejybos uostas, Minijos g. +1",82.00,3,2/3,,110 000 € (1 341 €/m²)
113,"1 kambario butas Klaipėdoje, Laukininkuose, Laukininkų g. +1",44.00,1,1/5,,42 000 € (955 €/m²)
114,"2 kambarių butas Radviliškio rajono sav., Pavartyčiuose, Arimaičių g. +1",46.82,2,2/2,1970,6 900 € (147 €/m²)
115,"1 kambario butas Vilniuje, Naujamiestyje, Eglių g. +1",22.57,1,1/5,2017,72 000 € (3 190 €/m²)
116,"3 kambarių butas Vilniuje, Senamiestyje, Gedimino pr. +1",70.00,3,3/6,2009,268 000 € (3 829 €/m²)
117,"3 kambarių butas Klaipėdoje, Vingio, I. Simonaitytės g. +1",69.00,3,7/9,1981,62 000 € (899 €/m²)
118,"4 kambarių butas Klaipėdoje, Centre, J. Karoso g. +1",170.00,4,3/3,1928,159 000 € (935 €/m²)
119,"3 kambarių butas Klaipėdoje, Alksnynėje, Pietinė g. +1",65.00,3,3/5,1994,65 000 € (1 000 €/m²)
120,"2 kambarių butas Klaipėdoje, Baltijos, Baltijos pr. +1",54.00,2,9/13,2005,69 000 € (1 278 €/m²)
121,"3 kambarių butas Klaipėdoje, Naujakiemyje, Naujakiemio g. +1",65.00,3,8/9,1976,70 000 € (1 077 €/m²)
122,"3 kambarių butas Vilniuje, Senamiestyje, Olimpiečių g. +1",127.00,3,3/4,2007,740 000 € (5 827 €/m²)
123,"3 kambarių butas Palangoje, Smilgų g. +1",81.00,3,3/3,1982,71 000 € (877 €/m²)
124,"4 kambarių butas Vilniuje, Naujamiestyje, Z. Sierakausko g. +1",145.23,4,2/4,2021,522 828 € (3 600 €/m²)
125,"4 kambarių butas Vilniuje, Naujamiestyje, Z. Sierakausko g. +1",123.14,4,3/4,2021,480 246 € (3 900 €/m²)
126,"4 kambarių butas Vilniuje, Naujamiestyje, Z. Sierakausko g. +1",112.24,4,1/4,2021,370 392 € (3 300 €/m²)
127,"4 kambarių butas Vilniuje, Naujamiestyje, Z. Sierakausko g. +1",112.22,4,2/4,2021,403 992 € (3 600 €/m²)
128,"4 kambarių butas Vilniuje, Naujamiestyje, Z. Sierakausko g. +1",123.09,4,2/4,2021,436 970 € (3 550 €/m²)
129,"2 kambarių butas Druskininkų sav., Druskininkuose, Liškiavos g. +1",93.00,2,1/3,1980,92 000 € (989 €/m²)
130,"2 kambarių butas Palangoje, Ganyklų g. +1",58.26,2,1,1990,101 900 € (1 749 €/m²)
131,"2 kambarių butas Vilniuje, Senamiestyje, Vasario 16-osios g. +1",56.00,2,1/5,1957,170 000 € (3 036 €/m²)
132,"3 kambarių butas Klaipėdoje, Bandužiuose, Budelkiemio g. +1",77.00,3,2/9,1987,55 000 € (714 €/m²)
133,"3 kambarių butas Klaipėdoje, Vėtrungėje, Taikos pr. +1",97.19,3,4/20,2009,131 000 € (1 348 €/m²)
134,"2 kambarių butas Joniškio rajono sav., Joniškyje, Žemaičių g. ",49.81,2,5/5,1985,27 800 € (558 €/m²)
135,"2 kambarių butas Klaipėdoje, Sportininkuose, Viršutinė g. ",33.00,2,1/2,,39 500 € (1 197 €/m²)
136,"2 kambarių butas Klaipėdoje, Centre, Sausio 15-osios g. ",45.00,2,4/5,,67 000 € (1 489 €/m²)
137,"1 kambario butas Klaipėdoje, Baltijos, Baltijos pr. ",18.00,1,2/5,,15 300 € (850 €/m²)
138,"2 kambarių butas Vilniuje, Naujamiestyje, T. Ševčenkos g. ",53.00,2,3/4,2011,520 € (10 €/m²)
139,"3 kambarių butas Klaipėdoje, Centre, Kuosų g. ",82.00,3,15/34,2010,135 000 € (1 646 €/m²)
140,"2 kambarių butas Šiauliuose, Dainiuose, Gegužių g. ",50.35,2,3/5,1985,53 000 € (1 053 €/m²)
141,"1 kambario butas Klaipėdoje, Žardininkuose, Žardininkų g. ",33.00,1,1/5,1976,41 000 € (1 242 €/m²)
142,"3 kambarių butas Vilniuje, Justiniškėse, Rygos g. ",76.41,3,3/5,2009,124 700 € (1 632 €/m²)
143,"2 kambarių butas Druskininkų sav., Druskininkuose, Merkinės g. ",53.68,2,3/5,1991,46 000 € (857 €/m²)
144,"4 kambarių butas Panevėžyje, Centre, Nemuno g. ",61.18,4,5/5,1968,38 900 € (636 €/m²)
145,"2 kambarių butas Šiauliuose, Gytaruose ",50.00,2,2/5,1981,53 500 € (1 070 €/m²)
146,"2 kambarių butas Šiauliuose, Dainiuose, Dainų g. ",52.00,2,9/9,1978,54 900 € (1 056 €/m²)
147,"3 kambarių butas Šiauliuose, Dainiuose, Aido g. ",74.54,3,6/12,1985,83 000 € (1 113 €/m²)
148,"3 kambarių butas Šiauliuose, Centre, Tilžės g. ",61.67,3,3/5,1969,61 500 € (997 €/m²)
149,"3 kambarių butas Panevėžyje, Žemaičiuose, Žemaičių g. ",58.00,3,1/5,1971,44 900 € (774 €/m²)
150,"1 kambario butas Vilniuje, Naujininkuose, Rodūnios kel. ",22.83,1,4/4,1974,21 000 € (920 €/m²)
151,"4 kambarių butas Vilniuje, Senamiestyje, K. Kalinausko g. ",85.47,4,4/4,1940,269 000 € (3 147 €/m²)
